formula,Density Score,Peak Score
SrLi4N2,2.555,1.596
LiLuPt2,2.465,2.369
Ca3Au,2.290,-0.402
Li3Au,2.109,-0.184
LiErGe,2.014,0.202
Rb3Mg,2.002,-0.201
Li7Sn2,1.995,-0.094
Sr6Sn2NO,1.885,0.482
LiB,1.828,1.642
Sr3MnN3,1.753,1.816
Ca3BiSb,1.625,-0.253
Er2ZnRu,1.559,-0.024
Yb2SbAu,1.458,0.164
HoTmMg2,1.416,0.299
Yb2AgSn,1.393,0.152
Nd2CdIn,1.391,0.314
Sm2AgSn,1.389,0.200
CaSmZn2,1.348,0.201
Pr2ZnHg,1.330,0.109
LiTmIn2,1.292,0.397
NdTmTl2,1.159,-0.079
LiTmHg2,1.149,-0.352
Li4UO5,1.109,0.168
ErB2Rh2C,0.792,1.288
Ca2MnO4,0.647,2.092
Al(SnO2)2,0.614,1.444
CrPO4,0.479,0.570
TmHfRu2,0.479,0.248
TbGaRh2,0.469,1.327
Ho2CF2,0.448,0.771
Ga2CoS4,0.413,0.965
Mn3O4,0.401,0.845
Cr2FeS4,0.390,0.962
MnAlRh2,0.367,0.471
LiAlPt2,0.348,1.139
BeGaRh2,0.343,0.395
Hf4N3,0.332,0.567
Cs2CrCl4,0.323,0.977
SF6,0.287,0.080
ScNbOs2,0.270,1.071
CeIr2,0.231,-0.237
Nd(CoSi)2,0.171,0.754
ThSiO4,0.152,0.083
U2CrN3,0.133,1.048
NdBPd3,0.102,-0.166
Ho2Cr2C3,0.090,0.621
P3N5,0.085,0.424
CaCu2O3,0.030,0.528
Sm2Zr2O7,0.003,0.345
Na2Hf2O5,0.001,0.430
MgSiN2,-0.001,0.512
CeNiC2,-0.018,-0.311
Rb2Cr(BrCl)2,-0.034,0.083
Fe2W,-0.034,-0.509
DyIr3,-0.034,-0.471
MnSbPd2,-0.049,-0.468
Fe3Sn2,-0.055,0.492
CaPd3O4,-0.087,-0.390
P2Pb2O7,-0.087,-0.203
Pr(CoSi)2,-0.093,0.042
ZrH3,-0.097,0.142
CrGaP2,-0.156,-0.136
RbSbO3,-0.172,0.166
HfPbO3,-0.174,-1.486
TbNi2,-0.181,0.024
Mg(BeN)2,-0.189,0.077
Ho(SiRu)2,-0.209,-1.151
Ti2GaC,-0.235,-0.700
Cs2RbInF6,-0.238,-0.214
V2C,-0.259,-0.645
Ni2Ge,-0.261,-0.153
MgS,-0.305,-0.450
LaCu2,-0.358,-0.624
CuAs,-0.363,0.273
YNiSb,-0.373,-0.372
SmMn2O5,-0.392,-1.634
LiZnAu2,-0.397,-0.457
K2SnCl6,-0.397,-0.076
TiBiRh,-0.434,-1.887
Cs2PbCl6,-0.434,-0.222
BaTiS3,-0.463,-0.775
DyCuSeO,-0.467,-0.703
YMg2,-0.478,0.305
ZnCo3C,-0.490,-1.012
Sc2CoRu,-0.501,-0.834
BaTe2,-0.531,-0.869
ErCdCu4,-0.558,-0.543
AsPdSe,-0.588,-0.608
TaNiGe,-0.615,-2.157
Sc3AlC,-0.697,-1.584
Sr(ZnGe)2,-0.722,-1.181
In2Se3,-0.745,-2.180
ZrGeTe,-0.821,-1.571
Ba(CdAs)2,-0.821,-1.735
Cu3P,-0.826,-1.756
Sc,-0.861,-2.060
CdCl2,-0.881,-2.481
Sc2CdAg,-0.907,-1.806
HoCd3,-1.124,-1.487
TbCd3,-1.129,-1.476
