formula,prediction,density,Density Score,index
SrLi4N2,85.739,0.132,2.555,8126
LiLuPt2,137.356,0.165,2.465,4478
Ca3Au,30.658,0.114,2.290,1065
Li3Au,27.442,0.121,2.109,4140
LiErGe,51.174,0.139,2.014,4381
Rb3Mg,18.701,0.121,2.002,6861
Li7Sn2,22.284,0.124,1.995,4239
Sr6Sn2NO,58.981,0.149,1.885,8034
LiB,112.101,0.181,1.828,4293
Sr3MnN3,119.998,0.189,1.753,8007
Ca3BiSb,37.198,0.150,1.625,1069
Er2ZnRu,63.911,0.168,1.559,2366
Yb2SbAu,47.286,0.163,1.458,9975
HoTmMg2,54.975,0.170,1.416,3325
Yb2AgSn,46.886,0.166,1.393,9954
Nd2CdIn,59.336,0.173,1.391,6000
Sm2AgSn,57.338,0.172,1.389,7571
CaSmZn2,52.124,0.171,1.348,1307
Pr2ZnHg,52.407,0.172,1.330,6558
LiTmIn2,57.848,0.177,1.292,4641
NdTmTl2,43.398,0.176,1.159,6155
LiTmHg2,38.114,0.173,1.149,4640
Li4UO5,72.112,0.194,1.109,4204
ErB2Rh2C,204.481,0.282,0.792,2384
Ca2MnO4,136.141,0.251,0.647,1030
Al(SnO2)2,156.446,0.264,0.614,139
CrPO4,137.550,0.260,0.479,1787
TmHfRu2,163.754,0.275,0.479,9217
TbGaRh2,169.767,0.279,0.469,8438
Ho2CF2,97.945,0.240,0.448,3185
Ga2CoS4,142.667,0.266,0.413,2674
Mn3O4,144.282,0.268,0.401,5230
Cr2FeS4,152.069,0.273,0.390,1698
MnAlRh2,177.269,0.288,0.367,5266
LiAlPt2,146.808,0.272,0.348,4281
BeGaRh2,174.724,0.287,0.343,852
Hf4N3,180.195,0.291,0.332,2946
Cs2CrCl4,91.315,0.242,0.323,1826
SF6,59.051,0.226,0.287,7074
ScNbOs2,166.579,0.286,0.270,7384
CeIr2,147.937,0.278,0.231,1545
Nd(CoSi)2,146.602,0.280,0.171,5981
ThSiO4,114.323,0.263,0.152,8639
U2CrN3,158.526,0.289,0.133,9287
NdBPd3,146.094,0.283,0.102,6045
Ho2Cr2C3,130.930,0.275,0.090,3189
P3N5,120.212,0.270,0.085,6305
CaCu2O3,112.642,0.268,0.030,1177
Sm2Zr2O7,94.579,0.259,0.003,7608
Na2Hf2O5,82.055,0.253,0.001,5475
MgSiN2,120.792,0.274,-0.001,5115
CeNiC2,134.534,0.283,-0.018,1560
Rb2Cr(BrCl)2,60.418,0.242,-0.034,6763
Fe2W,139.868,0.286,-0.034,2569
DyIr3,123.546,0.277,-0.034,2263
MnSbPd2,139.040,0.286,-0.049,5373
Fe3Sn2,138.407,0.286,-0.055,2587
CaPd3O4,104.513,0.269,-0.087,1270
P2Pb2O7,91.166,0.262,-0.087,6298
Pr(CoSi)2,122.798,0.280,-0.093,6525
ZrH3,77.824,0.255,-0.097,10471
CrGaP2,114.981,0.278,-0.156,1766
RbSbO3,46.448,0.241,-0.172,6979
HfPbO3,87.050,0.264,-0.174,3060
TbNi2,107.698,0.276,-0.181,8458
Mg(BeN)2,108.971,0.277,-0.189,4839
Ho(SiRu)2,115.745,0.281,-0.209,3178
Ti2GaC,131.099,0.291,-0.235,8693
Cs2RbInF6,40.059,0.241,-0.238,1888
V2C,130.074,0.292,-0.259,9401
Ni2Ge,121.386,0.287,-0.261,6171
MgS,85.272,0.269,-0.305,5093
LaCu2,94.420,0.277,-0.358,3852
CuAs,104.046,0.282,-0.363,2091
YNiSb,76.327,0.267,-0.373,9851
SmMn2O5,72.132,0.266,-0.392,7724
LiZnAu2,80.984,0.271,-0.397,4682
K2SnCl6,30.395,0.243,-0.397,3510
TiBiRh,113.369,0.291,-0.434,8848
Cs2PbCl6,25.513,0.242,-0.434,1870
BaTiS3,43.394,0.254,-0.463,751
DyCuSeO,68.976,0.268,-0.467,2242
YMg2,75.663,0.272,-0.478,9816
ZnCo3C,100.799,0.287,-0.490,10231
Sc2CoRu,102.565,0.288,-0.501,7168
BaTe2,27.133,0.248,-0.531,744
ErCdCu4,92.111,0.285,-0.558,2394
AsPdSe,72.293,0.276,-0.588,352
TaNiGe,95.557,0.290,-0.615,8321
Sc3AlC,90.584,0.291,-0.697,7232
Sr(ZnGe)2,60.779,0.276,-0.722,7904
In2Se3,38.212,0.264,-0.745,3346
ZrGeTe,61.688,0.281,-0.821,10467
Ba(CdAs)2,49.723,0.274,-0.821,422
Cu3P,71.608,0.287,-0.826,2071
Sc,57.995,0.281,-0.861,7129
CdCl2,11.175,0.256,-0.881,1387
Sc2CdAg,67.966,0.288,-0.907,7161
HoCd3,28.161,0.277,-1.124,3230
TbCd3,28.515,0.277,-1.129,8415
