book_s,categories,book_chi
Gen,"[ot, tor]",創
Exo,"[ot, tor]",出
Lev,"[ot, tor]",利
Num,"[ot, tor]",民
Deu,"[ot, tor]",申
Jos,"[ot, oth]",書
Jug,"[ot, oth]",士
Rut,"[ot, oth]",得
1Sa,"[ot, oth]",撒上
2Sa,"[ot, oth]",撒下
1Ki,"[ot, oth]",王上
2Ki,"[ot, oth]",王下
1Ch,"[ot, oth]",代上
2Ch,"[ot, oth]",代下
Ezr,"[ot, oth]",拉
Neh,"[ot, oth]",尼
Est,"[ot, oth]",斯
Job,"[ot, ket]",伯
Psm,"[ot, ket]",詩
Pro,"[ot, ket]",箴
Ecc,"[ot, ket]",傳
Son,"[ot, ket]",歌
Isa,"[ot, map]",賽
Jer,"[ot, map]",耶
Lam,"[ot, map]",哀
Eze,"[ot, map]",結
Dan,"[ot, map]",但
Hos,"[ot, mip]",何
Joe,"[ot, mip]",珥
Amo,"[ot, mip]",摩
Oba,"[ot, mip]",俄
Jon,"[ot, mip]",拿
Mic,"[ot, mip]",彌
Nah,"[ot, mip]",鴻
Hab,"[ot, mip]",哈
Zep,"[ot, mip]",番
Hag,"[ot, mip]",該
Zec,"[ot, mip]",亞
Mal,"[ot, mip]",瑪
Mat,"[nt, gos]",太
Mak,"[nt, gos]",可
Luk,"[nt, gos]",路
Jhn,"[nt, gos]",約
Act,"[nt, nth]",徒
Rom,"[nt, pau]",羅
1Co,"[nt, pau]",林前
2Co,"[nt, pau]",林後
Gal,"[nt, pau]",加
Eph,"[nt, pau]",弗
Phl,"[nt, pau]",腓
Col,"[nt, pau]",西
1Ts,"[nt, pau]",帖前
2Ts,"[nt, pau]",帖後
1Ti,"[nt, pau]",提前
2Ti,"[nt, pau]",提後
Tit,"[nt, pau]",多
Phm,"[nt, pau]",門
Heb,"[nt, epi]",來
Jas,"[nt, epi]",雅
1Pe,"[nt, epi]",彼前
2Pe,"[nt, epi]",彼後
1Jn,"[nt, epi]",約一
2Jn,"[nt, epi]",約二
3Jn,"[nt, epi]",約三
Jud,"[nt, epi]",猶
Rev,"[nt, apo]",啟
